n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,50,0.884262s,0.001161s,56.948408s,32,0.001929s,0.000039s,0.000060s,0.000060s
10,50,0.964377s,0.001340s,63.421630s,34,0.005759s,0.000045s,0.000169s,0.000169s
10,60,1.786397s,0.001444s,69.067940s,70,0.001581s,0.000048s,0.000023s,0.000023s
10,60,1.568869s,0.001393s,69.050184s,27,0.005138s,0.000046s,0.000171s,0.000190s
10,60,0.510101s,0.001195s,62.190365s,5,0.001691s,0.000040s,0.000056s,0.000338s
10,70,0.888079s,0.001390s,74.116037s,19,0.002284s,0.000046s,0.000076s,0.000120s
10,70,0.355452s,0.001822s,73.157547s,4,0.000546s,0.000061s,0.000018s,0.000136s
10,70,0.333242s,0.001603s,64.062187s,2,0.000574s,0.000053s,0.000019s,0.000287s
10,80,1.386252s,0.001679s,82.951966s,45,0.001500s,0.000056s,0.000033s,0.000033s
10,80,0.890825s,0.001726s,74.807692s,28,0.001557s,0.000058s,0.000052s,0.000056s
10,80,1.573794s,0.001802s,78.599567s,44,0.002622s,0.000060s,0.000060s,0.000060s
10,90,2.771402s,0.001805s,103.813683s,111,0.002485s,0.000060s,0.000022s,0.000022s
10,90,0.657400s,0.001711s,89.755681s,8,0.004810s,0.000057s,0.000160s,0.000601s
10,90,0.563910s,0.002064s,79.188602s,7,0.000659s,0.000069s,0.000022s,0.000094s
10,100,1490.983140s,0.002443s,4026.255148s,5086,2.887290s,0.000081s,0.000568s,0.000568s
