n_rounds, n_ops_per_round, merge time, comp time, sync time, merge count, real merge time, per-round comp time, average merge time
10,50,0.213390s,0.000933s,3.604308s,10,0.000296s,0.000031s,0.000030s
10,50,0.640407s,0.000769s,5.988495s,13,0.000686s,0.000026s,0.000053s
10,60,0.575750s,0.001030s,6.532638s,10,0.000627s,0.000034s,0.000063s
10,60,1.939418s,0.001131s,11.197771s,27,0.002428s,0.000038s,0.000090s
10,60,1.656537s,0.000970s,10.216041s,22,0.001575s,0.000032s,0.000072s
10,70,16.339341s,0.001174s,45.834310s,117,0.012617s,0.000039s,0.000108s
10,70,1.785597s,0.001178s,10.386286s,18,0.001738s,0.000039s,0.000097s
10,70,1.818336s,0.001142s,12.297464s,18,0.001599s,0.000038s,0.000089s
10,80,0.636350s,0.001300s,8.769515s,7,0.000591s,0.000043s,0.000084s
10,80,1.566976s,0.001369s,13.015399s,15,0.001571s,0.000046s,0.000105s
10,80,4.888593s,0.001242s,22.449931s,68,0.005569s,0.000041s,0.000082s
10,90,0.336414s,0.001706s,7.664510s,5,0.000387s,0.000057s,0.000077s
10,90,0.834735s,0.001629s,10.202879s,9,0.000770s,0.000054s,0.000086s
10,90,1.403417s,0.001570s,12.191462s,14,0.001361s,0.000052s,0.000097s
10,100,1.744664s,0.001682s,15.499963s,11,0.001407s,0.000056s,0.000128s
10,100,2.778653s,0.001752s,16.984476s,14,0.001734s,0.000058s,0.000124s
10,100,1.033160s,0.001806s,13.099072s,9,0.000884s,0.000060s,0.000098s
10,110,18.342273s,0.001824s,53.424998s,69,0.012125s,0.000061s,0.000176s
10,110,6.833814s,0.001787s,26.164760s,41,0.004707s,0.000060s,0.000115s
10,110,82.418076s,0.001833s,229.770141s,489,0.060117s,0.000061s,0.000123s
10,120,1.538260s,0.001902s,13.373894s,9,0.001216s,0.000063s,0.000135s
10,120,1.479892s,0.001908s,14.298001s,12,0.001403s,0.000064s,0.000117s
10,120,0.916277s,0.001996s,14.014431s,8,0.001066s,0.000067s,0.000133s
10,130,1.696496s,0.001989s,17.678247s,11,0.001312s,0.000066s,0.000119s
10,130,9.734744s,0.002060s,34.794854s,31,0.006469s,0.000069s,0.000209s
10,130,1.564035s,0.002223s,17.492253s,8,0.001175s,0.000074s,0.000147s
10,140,1.758304s,0.002388s,20.863232s,12,0.001550s,0.000080s,0.000129s
10,140,1.933820s,0.002225s,18.353492s,9,0.001378s,0.000074s,0.000153s
10,140,3.928311s,0.002418s,25.498834s,14,0.002702s,0.000081s,0.000193s
10,150,1.693266s,0.002338s,18.685398s,11,0.001403s,0.000078s,0.000128s
10,150,1.402374s,0.002607s,20.403935s,7,0.001155s,0.000087s,0.000165s
10,150,4.015510s,0.002544s,29.892883s,17,0.002846s,0.000085s,0.000167s
