n_r, no_op_r, gzip diff size (KB), diff size (KB), total size (KB)
10,10,1.01,2.13,14
10,20,1.52,3.61,28
10,30,1.81,4.42,36
10,40,2.76,6.82,51
10,50,3.17,8,65
10,60,3.62,9.47,79
10,70,4,10.49,93
10,80,5.14,13.26,103
10,90,5.34,13.9,115
10,100,5.57,14.77,124
10,110,6.48,17.05,145
10,120,6.45,17.36,152
10,130,7.08,18.98,171
10,140,7.85,20.85,183
10,150,7.47,20.43,194
